DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/03/17 04:53:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,0.1,-999.0,-15.56882,-47.85602,1.3
2024/03/19 04:17:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,0.85,-999.0,-15.56987,-47.85683,0.7
2024/03/19 04:40:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,0.81,-999.0,-15.5696,-47.85406,1.5
2024/03/21 04:27:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,5.94,-999.0,-15.56927,-47.85557,0.4
2024/03/21 17:24:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,1.24,0.11,-15.54164,-48.04618,7.4
2024/03/21 17:24:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,1.5,0.22,-15.54032,-48.03691,13.9
2024/03/30 04:34:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,11.27,-999.0,-15.56871,-47.85422,1.1
2024/03/31 04:42:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,5.38,0.01,-15.57022,-47.85629,1.1
2024/03/31 04:17:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,5.44,-999.0,-15.56871,-47.85555,1.2
2024/04/09 03:57:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,4.04,-999.0,-15.56913,-47.85772,1.5
2024/04/09 03:57:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,4.17,-999.0,-15.56785,-47.85456,1.1
2024/04/09 04:46:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,4.05,-999.0,-15.56967,-47.85684,1.3
2024/02/27 17:32:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,0.0,0.04,-15.6902,-47.42836,1.8
2024/03/06 17:32:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,3.87,0.0,-15.74268,-47.81602,5.8
2024/03/06 17:32:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,3.9,0.01,-15.73824,-47.81976,3.7
2024/03/07 03:51:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,-999.0,-15.56821,-47.85775,1.1
2024/03/07 04:42:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,-999.0,-15.56839,-47.85644,1.4
2024/03/18 04:34:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,2.97,-999.0,-15.56852,-47.85641,1.4
2024/03/18 04:57:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,2.95,-999.0,-15.56839,-47.85472,2.2
2024/03/18 17:32:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,16.57,0.0,-16.04247,-47.83535,6.2
2024/03/18 17:32:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,16.48,0.0,-16.04108,-47.8345,5.1
2024/03/29 04:51:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,0.1,-999.0,-15.56923,-47.8543,2.0
2024/03/11 04:17:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,7.88,-999.0,-15.56736,-47.85745,1.2
2024/03/11 04:17:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,7.9,-999.0,-15.56722,-47.85694,1.1
2024/03/11 16:22:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,9.03,0.0,-15.64696,-48.20354,3.0
2024/03/11 16:22:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,4.66,0.02,-15.62547,-47.90121,3.2
2024/04/15 04:34:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,0,0.0,-999.0,-15.56919,-47.85522,2.3
2024/04/15 17:05:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,3,0.0,0.15,-15.75135,-48.14219,7.1
2024/04/16 04:42:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,2,0.0,-999.0,-15.56824,-47.85496,1.5
2024/04/18 04:29:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,4,0.0,0.51,-15.57069,-47.85435,1.5
2024/04/18 16:35:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,6,0.0,0.44,-16.04213,-47.92964,3.7
2024/04/18 16:35:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,5,0.0,0.69,-15.68007,-47.78075,3.8
2024/04/18 16:09:00,NOAA-21,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,5,0.0,0.61,-15.93249,-47.74958,4.1
2024/04/18 17:02:00,NOAA-20,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,6,0.0,0.09,-15.74276,-48.06529,9.2
2024/04/19 03:47:00,NPP-375D,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,7,0.0,-999.0,-16.0462,-48.01147,0.6
